doc_id,context,question,ratings,hypo_answers
archery,"Olympic History

Archery first featured at the Olympic Games at Paris 1900, and was contested again at the Games in St. Louis (1904), London (1908), and Antwerp (1920) before a 52-year hiatus from the Olympic programme.

Archery was reintroduced at the Games for the 1972 Summer Olympics in Munich and has remained on the Olympic programme ever since. The Republic of Korea has been the most successful nation in the sport at the Olympics, winning 27 gold, nine silver, and seven bronze medals for a total of 43 medals.",When was archery reintroduced to the Olympic Games and which country has been the most successful in the sport at the Olympics?,5,"Archery was reintroduced to the Olympic Games in 1972 after a long hiatus since 1920. South Korea has been the most successful country in archery at the Olympics, winning numerous gold medals and dominating the sport in recent years."
golf,"Golf was one of the first modern sports to codify its rules in 1744 in Edinburgh, Scotland. At the end of the 19th century, the first women’s tournaments were established. Today, there are more than 60 million golfers and over 30,000 golf courses worldwide.","In what year were the rules of golf codified in Edinburgh, Scotland?",5,1744
golf,"Brief Overview of the Rules

Golf is a straightforward game in principle and is effectively explained in its first rule: “The Game of Golf consists of playing a ball with a club from the teeing ground into the hole by a stroke or successive strokes in accordance with the Rules.” Players use different clubs based on varying criteria, including distance to the hole and playing surface.

The golf format at the Olympic Games is stroke play, which consists of counting the number of strokes a golfer takes to complete an 18-hole course played four times over four days. The player with the lowest number of strokes at the end of the four rounds wins the tournament.",What is the format of golf at the Olympic Games?,5,"The format of golf at the Olympic Games is stroke play for both men and women, with individual competitions for each gender."
golf,"Olympic History

Prior to the Rio 2016 Olympic Games, golf had featured on the Olympic programme on just two occasions: in 1900 and 1904. The sport made its Olympic comeback in Brazil and was contested again at the Tokyo 2020 Olympic Games in 2021.",In which years did golf previously feature on the Olympic programme before its comeback in Rio 2016 and Tokyo 2020?,5,Golf previously featured on the Olympic programme in the 1900 Paris Olympics and the 1904 St. Louis Olympics before its comeback in Rio 2016 and Tokyo 2020.
badminton,"Badminton is a racket sport whose exact origins are still a tantalising mystery. It evolved from the older games of battledore and shuttlecock, which were popular pastimes in Europe—particularly among the more affluent classes. However, it is unknown exactly when battledore and shuttlecock transformed into the competitive sport of badminton. One plausible theory is that badminton was first played at the stately home of the Duke of Beaufort in Gloucestershire sometime in the early 1860s and was thus named after his estate: Badminton House. The game travelled to India where it became a popular sport in military cantonments, and gradually spread across the British colonies and then to Europe and East Asia. Today, badminton is a global sport with widespread appeal among people of all ages and abilities.",How did badminton get its name?,5,"Badminton is believed to have been named after Badminton House in Gloucestershire, England. The sport was popularized by the Duke of Beaufort’s house guests who played a game similar to badminton on the estate grounds in the mid-19th century."
badminton,"Brief Overview of the Rules

Badminton is a racket sport played indoors by two opposing players (singles) or two pairs (doubles), who take positions on opposite halves of a court divided by a net. Players use a shuttlecock (a projectile with a crown of feathers in a conical shape) during a rally, with the aim of trying to land it on the surface of their opponents' court or forcing their opponents to make an error. A point is won/lost every serve in the game. Players must win two games of 21 points to win the match (best of three).",How many points are needed to win a game in badminton?,5,"In a standard game of badminton, a player or team needs to score 21 points to win, as long as they are ahead by at least 2 points. If the score reaches 29-29, the first player or team to score the 30th point wins."
badminton,"Olympic History

Badminton made its Olympic debut as a demonstration sport at the 1972 Games in Munich, and was included as an exhibition sport at the Seoul 1988 Olympic Games; four years later badminton became an official part of the Olympic program at the 1992 Games in Barcelona with four medal categories: men’s and women’s singles, and men’s and women’s doubles.

Mixed doubles was added to the discipline at the following Games in Atlanta in 1996.

Athletes representing Asian nations have dominated the podium at the Games, accounting for 106 of the 121 badminton medals in Olympic history.

At Paris 2024, 172 athletes will compete in the badminton competition. The events of men’s and women's singles, men’s and women’s doubles, and mixed doubles will be contested across 10 days of competition with five gold, silver, and bronze medals awarded.",How many athletes will compete in the badminton competition at the Paris 2024 Olympics?,5,There will be 172 athletes competing in the badminton competition at the Paris 2024 Olympics.
biathlon,Biathlon combines the power and aggression of cross-country skiing with the precision and calm of marksmanship.,What two skills are combined in the sport of biathlon?,5,Marksmanship and cross-country skiing
biathlon,"Roots in Survival

The word ""biathlon"" stems from the Greek word for two contests, and is today seen as the joining of two sports: skiing and shooting. Biathlon has its roots in survival skills practised in the snow-covered forests of Scandinavia, where people hunted on skis with rifles slung over their shoulders.",What are the two sports that make up the biathlon and where did the roots of this sport originate?,5,"The two sports that make up the biathlon are cross-country skiing and rifle shooting. The roots of this sport can be traced back to Scandinavia, specifically Norway, where it was used as a means of military training for Norwegian soldiers."
biathlon,"Standardising the Rules

In 1948, the Union Internationale de Pentathlon Moderne et Biathlon (UIPMB) was founded to standardise the rules for biathlon and pentathlon. In 1993, the biathlon branch of the UIPMB created the International Biathlon Union (IBU), which officially separated from the UIPMB in 1998.",What organization was founded in 1948 to standardize the rules for biathlon and pentathlon?,5,The organization founded in 1948 to standardize the rules for biathlon and pentathlon was the International Modern Pentathlon Union (UIPM).
biathlon,"First Competition

Biathlon-type events in Scandinavia are known to have been held as early as the 18th century. The first modern biathlon probably occurred in 1912, when the Norwegian military organised the Forvarsrennet in Oslo. An annual event, it consisted initially of a 17km cross-country ski race with two-minute penalties incurred by misses in the shooting part of the competition.",When and where was the first modern biathlon competition held?,5,The first modern biathlon competition was held in 1912 in Norway.
biathlon,"Olympic History

In 1924 in Chamonix, an ancient form of biathlon made its Olympic debut: the military patrol. This event was then in demonstration in 1928, 1936 and 1948. After some attempts to incorporate it into a winter pentathlon, biathlon appeared at the Games in its current form in 1960 in Squaw Valley. Women’s biathlon made its first appearance on the Olympic programme in Albertville in 1992.

Until the 1976 Games in Innsbruck, the events comprised an individual race and a relay. In Lake Placid in 1980, a second individual event was introduced.

In Salt Lake City in 2002, a 12.5km pursuit event was added for men and 10km for women. From Turin in 2006, a new mass-start event was introduced for both men and women. This brings together the 30 best athletes from the World Cup.",When did women's biathlon make its first appearance on the Olympic programme?,5,"Women's biathlon made its first appearance on the Olympic programme in the 1992 Winter Olympics in Albertville, France."
canoesprint,"For centuries, canoes were used as a means of transport (as well as a useful tool for hunting and fishing) in North America, Siberia, and Greenland. The first recorded competitive canoe sprint race took place at the British Royal Canoe Club in 1869.",Where did the first recorded competitive canoe sprint race take place?,5,"The first recorded competitive canoe sprint race took place in July 19, 1869 on Lake George in New York, United States."
canoesprint,"Brief Overview of the Rules

Canoe and kayak races feature on the Olympic Games programme, each with its own specific rules. Canoeists kneel in the boat and use a single-blade paddle on one side at a time, whereas kayakers are seated and use a double-bladed paddle.

Canoe sprint races take place on flatwater and feature sprints over various distances (women’s races are either over 200m or 500m, while men’s races are either 500m or 1000m), with one, two or four athletes per boat.","What type of paddle do canoeists use in races, and how many athletes can be in a canoe sprint race?",5,"Canoeists use single-blade paddles in races, and typically there are either one (C1), two (C2), or four (C4) athletes in a canoe sprint race."
canoesprint,"Olympic History

Canoe sprint became an Olympic medal discipline at the Berlin 1936 Olympic Games, after previously featuring as a demonstration event at the Paris 1924 Olympic Games.",When did canoe sprint become an Olympic medal discipline?,5,"Canoe sprint became an Olympic medal discipline in 1936, during the Berlin Olympics."
cyclingmountainbike,"Mountain bike is a relatively new sport that emerged in the 1970s, when cyclists in California decided to take their bikes off-road and explore new trails. In the 1990s, the first mountain bikes that could withstand the impact of rougher terrain were created, and the hobby subsequently took off, quickly becoming a sport in its own right. The first informal competitions took place in the late 1970s before the first official world championships were held in the 1990s.",What were the first official world championships for mountain biking held?,4,The first official world championships for mountain biking were held in 1990.
cyclingmountainbike,"Brief Overview of the Rules

There are two cross-country mountain bike events: one for women and one for men. Riders set off from the same starting line and contest multiple laps around a loop on mountainous, rough terrain that tests their technique, endurance, and stamina.

Races feature a mass start and, in general, multiple laps. Riders take one to two hours to complete an intense course full of twists and turns, covering tens of kilometres during the event.",How long does it take riders to complete the cross-country mountain bike events on average?,4,"On average, riders complete the cross-country mountain bike events in approximately 1 to 2 hours."
cyclingmountainbike,"Olympic History

Mountain bike made its Olympic debut 100 years after track cycling and road cycling at the Atlanta 1996 Olympic Games, with individual races for men and women. French and Swiss athletes have regularly finished on the Olympic podium in mountain bike, combining for 16 of the 42 medals awarded in the discipline.",When did mountain bike make its Olympic debut?,5,"The mountain bike made its Olympic debut at the 1996 Olympic Games in Atlanta, Georgia."
cricket,"Cricket is a bat-and-ball team sport where the batting side tries to score as many runs as possible while the bowling side attempts to get batters out, also known as taking wickets, and restrict the flow or runs.

Cricket bats are constructed from high-grade willow with balls made of leather stitched onto a cork core.

International cricket was solely comprised of Test matches comprising two innings per team, but limited overs formats have largely taken over in recent decades with Twenty20 - 20 overs per side - it is the suggested format to be played at the Los Angeles 2028 Olympic Games.",What material are cricket bats typically made from?,5,Cricket bats are typically made from willow wood.
cricket,"By whom, where and when was Cricket invented?

Cricket was first played in southern England in the 16th century but it was not until 1744 that the 'Laws of Cricket' were codified with the first recorded women's match taking place a year later.

Limited overs cricket, where teams have a set number of overs to post a score, was founded in India in 1951 with the first-one-day international (ODI) held in 1971.

While ODIs have gradually been shortened, to satisfy timing and television demands, to 50 overs a side, Twenty20 cricket (or T20) was created in 2003 by the England and Wales Cricket Board.

T20 internationals were first held the following year and, thanks to innovations like the Indian Premier League (IPL), 20-over-a-side cricket has become its most popular format with numerous leagues attracting top players from across the world.",When and where was the first recorded women's cricket match held?,4,"The first recorded women's cricket match was held in Surrey, England in July 1745 between Bramley and Hambledon."
cricket,"What are the rules of Cricket?

Each team has 11 players with one side batting and the other fielding. The fielding side has at least five bowlers who bowl (throwing with a straight arm unlike a baseball pitcher's bent arm) at one of a pair of batters on a pitch 22 yards (20 metres) away. The batter guards a set of three wooden stumps in the ground - with two bails on top - and the wicketkeeper from the fielding side stands behind them.

A batter scores runs by hitting the ball and running to the other end of the pitch with their partner going in the opposite direction. If they score an odd number of runs, their partner faces the next ball. A batter scores four runs for hitting the ball to the boundary, and six runs should the ball clear the boundary rope without touching the ground. A bowler bowls an over - six balls in succession - before another bowler begins the next over from the other end of the pitch.

The main ways in which a batter can be out (dismissed) are bowled (if the bails are dislodged by the ball), caught, leg before wicket (if the ball hits the batter's pads in front of the stumps) and run out (bails removed by a member of the fielding side with the ball before the batter completes a run).

If a team loses 10 wickets, leaving one batter on their own, they are 'all out' and the innings is over. In T20, the innings is usually complete at the end of 20 overs. The team batting second must then try to exceed that score inside 20 overs and without losing all 10 wickets.

In the Laws of Cricket, the only difference between the men's and women's games is the use of a slightly smaller and lighter ball in the latter.",What are the main ways in which a batter can be dismissed in the game of Cricket?,5,"A batter can be dismissed in cricket through several ways:
1. Bowled - when the bowler bowls the ball and it hits the wickets, resulting in the batter being out. 
2. Caught - when a fielder catches the ball hit by the batter before it touches the ground.
3. LBW (Leg Before Wicket) - when the ball hits the batter's leg before hitting the bat and would have gone on to hit the stumps.
4. Run Out - when the fielding team hits the wickets with the ball while the batter is out of their crease.
5. Stumped - when the wicketkeeper catches the ball and removes the bails while the batter is out of their crease.
6. Hit wicket - when the batter accidentally knocks over their own stumps while playing a shot.
7. Handled the ball - when the batter deliberately touches the ball with their hand. 
8. Obstructing the field - when the batter obstructs a fielder while attempting to run."
cricket,"Cricket and the Olympics

Cricket's only previous Olympic appearance came at the Paris 1900 Games. It consisted of a single two-innings-a-side two-day match with Great Britain's Devon and Somerset Wanderers defeating France's French Athletic Club Union.

T20 is the format that is proposed for Los Angeles 2028.",What format of cricket is proposed for the Los Angeles 2028 Olympics?,5,T10 or 10-over cricket format is proposed for the Los Angeles 2028 Olympics.
cricket,"Best Cricket players to watch

Having been exported from England, cricket's power base remains in former British colonies.

Until the turn of the century, India, Australia, England, New Zealand, Pakistan, Sri Lanka, South Africa, Zimbabwe and the West Indies - a composite representative team featuring the likes of Jamaica, Barbados and Trinidad and Tobago - were the nine ""Full Members"" of the International Cricket Council.

Bangladesh became the 10th Full Member in 2000 with Ireland and Afghanistan making it 12 in 2017.

The West Indies dominated men's cricket in the 1980s but have struggled of late and failed to reach the 50-over-a-side World Cup in 2023.

England, whose players would represent Great Britain at Los Angeles 2028, beat Pakistan in the final of the last T20 World Cup in 2022. Hard-hitting wicketkeeper Jos Buttler and spin bowler Adil Rashid are among their leading lights.

Cricket-mad India, led by batters Rohit Sharma and Virat Kohli, and Australia are also big players with New Zealand finally winning a major tournament by becoming World Test champions in 2021.

Women's cricket has grown in popularity since coming under the International Cricket Council umbrella in 2005. Australia, led by star duo Ellyse Perry and Meg Lanning, has long been the dominant nation in women's cricket, winning three consecutive T20 World Cups and four of the last seven one-day World Cups.","Which nation has been the dominant force in women's cricket, winning three consecutive T20 World Cups and four of the last seven one-day World Cups?",5,Australia
acrobaticgymnastics,"Acrobatic gymnastics has existed in various forms and throughout different cultures for thousands of years. Depictions of acrobatics have been discovered in Bronze Age art, along with being mentioned in Homer’s epics and included in Ancient Greek symposiums and China’s Han Dynasty harvest festivals. It also served as entertainment for European courts during the Middle Ages.",What are some historical examples of acrobatic gymnastics being practiced in different cultures?,5,"Some historical examples of acrobatic gymnastics being practiced in different cultures include the ancient Greek tradition of gymnastics, the acrobatic performances in ancient China known as ""acrobatics,"" the circus acrobatics popularized in Europe in the 18th and 19th centuries, and the traditional acrobatic performances found in cultures such as India, Russia, and Mongolia."
acrobaticgymnastics,"Becoming a Discipline

Acrobatic gymnastics began to develop as a discipline through use of apparatus and through tumbling. Both aspects showcased the human body’s capabilities. The first competition rules for acrobatics were formed in the Soviet Union, where stadiums filled with spectators hoping to witness athletic feats, like forming giant human pyramids. The inaugural Soviet national championships were held in 1939.",How did acrobatic gymnastics begin to develop as a discipline?,5,"Acrobatic gymnastics began to develop as a discipline in the Soviet Union in the 1930s, influenced by traditional circus acrobatics and artistic gymnastics."
acrobaticgymnastics,"Global Evolution

The first international tournament for what was then named “Sport Acrobatics” was held in Warsaw in 1957, with four participating teams. The International Federation of Sports Acrobatics (IFSA) was established in 1973, with the first world championships held the following year in Moscow, featuring teams from Bulgaria, Federal Republic of Germany, Great Britain, Hungary, Poland, the Soviet Union and the United States. In 1998, the discipline was adopted by the International Gymnastics Federation once IFSA dissolved. The discipline has been known as Acrobatic Gymnastics since 2007.",When was the first international tournament for Sport Acrobatics held?,4,The first international tournament for Sport Acrobatics was held in 1973.
acrobaticgymnastics,"Olympic History

Acrobatic gymnastics made its Olympic debut at the Summer Youth Olympic Games Buenos Aires 2018. The competition took the form of a mixed pair event and was won by Bulgaria’s Mariela Kostadinova and Panayot Dimitrov, who were also a part of the gold medal-winning team for the team event, which brought together gymnasts from different National Olympic Committees and from across Artistic, Rhythmic, Trampoline and Acrobatic Gymnastics",What country's athletes won the first gold medal in acrobatic gymnastics at the Summer Youth Olympic Games Buenos Aires 2018?,5,I would guess that the athletes who won the first gold medal in acrobatic gymnastics at the Summer Youth Olympic Games Buenos Aires 2018 were from China.
breaking,"Breaking is an urban dance style that originated in the United States in the 1970s. With roots in hip-hop culture, breaking first took form in the lively block parties in the Bronx borough of New York, and is characterised by acrobatic movements, stylised footwork, and the key role played by the DJ and the MC (master of ceremonies) during battles.

International competitions were first held in the 1990s, popularising the dance form both among hip-hop communities and the general public along the way.",What are the key characteristics of the urban dance style known as breaking and where did it originate?,5,"The key characteristics of breaking include intricate footwork, acrobatic moves, and improvisation. Breaking originated in the Bronx borough of New York City in the 1970s."
breaking,"Brief Overview of the Rules

The breaking competition at the Paris 2024 Olympic Games comprises two events—one for men and one for women—where 16 B-Boys and 16 B-Girls will face off in spectacular solo battles. Athletes will use a combination of power moves—including windmills, the 6-step, and freezes—as they adapt their style and improvise to the beat of the DJ’s tracks in a bid to secure the judges’ votes and take home the first Olympic breaking medals.",How many B-Girls will compete in the breaking competition at the Paris 2024 Olympic Games?,4,My best guess would be that there will be 16 B-Girls competing in the breaking competition at the Paris 2024 Olympic Games.
breaking,"Olympic History

Breaking featured at the Summer Youth Olympic Games in Buenos Aires in 2018. Following its outstanding success at the Games in Argentina, breaking was added to the Paris 2024 Olympic programme as a new sport.",In which city did breaking first feature at the Summer Youth Olympic Games before being added to the Paris 2024 Olympic programme?,5,Buenos Aires
rowing,"Rowing originally served as a means of transport in ancient Egypt, Greece and Rome, but it was only in England between the end of the 17th and the start of the 18th centuries that it became a sport. The first major rowing competition was the country’s now-annual Oxford and Cambridge Boat Race which began in 1829.",When did rowing become a sport in England?,5,Rowing became a sport in England in the early 18th century.
rowing,"Brief Overview of the Rules

Rowing involves propelling a boat using oars fixed to the vessel. It differs from other disciplines in that rowers sit with their backs to the direction of movement, therefore crossing the finish line backwards.

Rowers compete across a distance of 2,000 metres, alone or in teams of 2, 4 or 8. There are two different disciplines: double scull and sweep rowing. In sweep events, rowers hold a single oar with both hands, while in sculling they hold one oar in each hand. The eight-person crews have a coxswain, who steers the boat and directs the crew. The boat is steered using a small rudder that is attached to the foot of one of the rowers by a cable. There are two lightweight rowing events.",What is the difference between sweep rowing and sculling in the sport of rowing?,5,"In sweep rowing, each rower has one oar, with one hand on the oar handle and the other hand on the oar sleeve. The rowers in sweep rowing have staggered seating positions in the boat and row on one side of the boat. 
In sculling, each rower has two oars, one in each hand. The rowers in sculling have symmetrical seating positions in the boat and row with one oar on each side of the boat."
rowing,"Olympic History

Rowing events have been staged at every Games since the first modern Olympiad in Athens in 1896 (men’s events). However, because the competition was scheduled to take place at sea, it had to be cancelled that year due to bad weather. Women’s events were only officially included in the Olympic program much later, at the Games of Montréal in 1976.

The USA initially dominated Olympic rowing, before the Soviet Union and Germany came to the forefront. Six-time Olympians Sir Steve Redgrave (five golds, one bronze) and Elisabeta Oleniuc-Lipă (five golds, two silvers, one bronze) are widely hailed as the greatest Olympic male and female rowers of all time.",When were women's rowing events officially included in the Olympic program?,5,1976
skateboarding,"Skateboarding is a young and spectacular sport that developed in the US in the 1950s as surf culture was taking off. It was then part of the underground, alternative culture of the 1980s, going hand in hand with the values of freedom, rebellion and thrill-seeking. The sport continued to develop and became more widely accessible at the start of the 21st century, proving a huge hit among younger audiences.",What are some of the values associated with skateboarding in the 1980s?,4,"Some of the values associated with skateboarding in the 1980s were creativity, individuality, rebellion against authority, perseverance, and a sense of community and camaraderie among skateboarders."
skateboarding,"Brief Overview of the Rules

The world’s greatest skateboarders will face each other at the Olympic Games, competing in the two most popular and spectacular disciplines: park and street. Athletes must carry out their most impressive tricks, meeting criteria for the degree of difficulty, speed and range of moves.

The events consist of two rounds: prelims and finals.

The park competition takes place on a varied course combining bowls and numerous bends, which the athletes use to gather speed and perform tricks mid-air.

The skateboarders are judged by the height and speed of the tricks they carry out during jumps, as well as their capacity to use the entire surface and all obstacles. They perform three 45‑second runs, with the best of three counting as their final round score.

Street events take place on a straight ‘street-like’ course with stairs, handrails, etc. set up to resemble the urban environments where skateboarding started out. Athletes perform a range of tricks and are also judged on how they control their board during the two 45‑second runs and five tricks they carry out.",What criteria are used to judge skateboarders in the park and street disciplines at the Olympic Games?,5,"Skateboarders in the park and street disciplines at the Olympic Games are judged based on criteria such as difficulty of tricks, variety of tricks performed, style, execution, use of the course obstacles, flow, and overall creativity."
skateboarding,"Olympic History

After making its Olympic debut at the Tokyo 2020 Olympic Games in 2021, skateboarding will once again be on the programme for Paris 2024, taking place at the famous Place de La Concorde in the heart of the French capital.",In which year did skateboarding make its Olympic debut?,5,Skateboarding made its Olympic debut in the year 2020.
squash,"Squash is a racket sport usually played by two people on a rectangular court enclosed by four walls. The floor is made of hardwood with walls in professional competition constructed from safety glass to enable spectators to watch the action.

Squash balls are made of rubber and tend to have little bounce. They need to be warmed up by being repeatedly hit against walls before the match.",How are squash balls prepared before a match?,5,"Squash balls are typically warmed up before a match by hitting them against the walls of the squash court to increase their bounce and responsiveness. This process is known as ""warming up"" the ball."
squash,"By whom, where and when was Squash invented?

Squash was derived from the game of racquets - itself a descendant of tennis - played in the 18th century in London prisons where players hit balls with rackets against a wall or in a corner to bring a sidewall into operation.

In the mid-19th century, following the advent of the vulcanisation of rubber, students at English boys’ boarding school Harrow replaced the hard racquets ball with a larger, hollow rubber ball which travelled slower.

Originally called 'baby racquets', a Harrow School election resulted in the name change to squash with graduates starting the spread of the sport beyond its public school origins.","When did students at Harrow School replace the hard racquets ball with a larger, hollow rubber ball, leading to the creation of the game of squash?",5,"The students at Harrow School replaced the hard racquets ball with a larger, hollow rubber ball in the mid-19th century, thus leading to the creation of the game of squash."
squash,"What are the rules of Squash?

On the front wall of a squash court, there are three lines - the tin 43cm off the ground, the service line at a height of 1.78m, and the out line at 4.57m which slopes down on the side walls to 2.13m on the back wall.

At the start of a point, the server must serve from one of the two service boxes on the floor and strike the ball between the service line and the out line.

After that, all subsequent shots can be struck off any wall provided it hits the front wall between the tin and the out line before hitting the ground. The ball is only permitted to bounce once on the floor.

The winner of a rally receives a point and the next serve. The first player to 11 points - by two clear points - wins a game. The first player to three games takes the match.",What are the rules regarding serving in a game of Squash?,5,The rules regarding serving in a game of Squash require the server to stand in one of the two service boxes and hit the ball directly to the front wall above the service line. The ball must be hit into the opposite back quarter of the court without touching the side walls. The server must wait for the opponent to be ready before serving and must win the point to continue serving.
squash,"Squash and the Olympics

Squash has never previously appeared at the Olympic Games although it was a demonstration sport at the Buenos Aires 2018 Youth Olympic Games.",Has squash ever been an official sport at the Olympic Games?,2,"Yes, squash has never been an official sport at the Olympic Games."
